"countryname","happinessscore","healthy_life_expectancy"
"Denmark","7.526","72.7"
"Switzerland","7.509","74.4"
"Iceland","7.501","73"
"Norway","7.498","73.3"
"Finland","7.413","72"
"Canada","7.404","73.8"
"Netherlands","7.339","72.4"
"New Zealand","7.334","73.4"
"Australia","7.313","73.9"
"Sweden","7.291","72.7"
"Israel","7.267","73.503"
"Austria","7.119","73.3"
"United States","7.104","68.2"
"Costa Rica","7.087","71.4"
"Germany","6.994","72.5"
"Brazil","6.952","66.601"
"Belgium","6.929","72.199"
"Ireland","6.907","72.4"
"Luxembourg","6.871","72.6"
"Mexico","6.778","68.597"
"Singapore","6.739","76.953"
"United Kingdom","6.725","72.5"
"Chile","6.705","70"
"Panama","6.701","69.652"
"Argentina","6.650","69"
"Czech Republic","6.596","70.807"
"United Arab Emirates","6.573","67.333"
"Uruguay","6.545","69.1"
"Malta","6.488","72.2"
"Colombia","6.481","68.001"
"France","6.478","74"
"Thailand","6.474","67.401"
NULL,"6.375",NULL
"Spain","6.361","74.7"
"Guatemala","6.324","64.958"
NULL,"6.269",NULL
"Bahrain","6.218","69.495"
NULL,"6.168",NULL
NULL,"6.084","66.7"
NULL,"6.078","69.201"
"El Salvador","6.068","66.402"
"Nicaragua","5.992","67.657"
"Uzbekistan","5.987","65.255"
"Italy","5.977","73.8"
"Ecuador","5.976","68.8"
NULL,"5.956",NULL
"Japan","5.921","75.1"
"Kazakhstan","5.919","65.2"
"Moldova","5.897","65.699"
NULL,"5.856",NULL
NULL,"5.835","73.9"
"Poland","5.835","69.702"
"Bolivia","5.822","63.901"
"Lithuania","5.813","67.906"
"Belarus","5.802","66.253"
"Slovenia","5.768","71.4"
"Peru","5.743","68.25"
"Turkmenistan","5.658","62.409"
"Mauritius","5.648","66.701"
"Latvia","5.560","67.1"
"Cyprus","5.546","73.898"
"Paraguay","5.538","65.9"
"Romania","5.528","67.355"
"Estonia","5.517","68.8"
"Jamaica","5.510","67.5"
"Croatia","5.488","70.799"
"Turkey","5.389","67.199"
"Jordan","5.303","67"
"Azerbaijan","5.291","65.656"
"Philippines","5.279","62"
"China","5.245","69.593"
NULL,"5.185","64.401"
"Serbia","5.177","68.6"
"Bosnia and Herzegovina","5.163","68.098"
"Montenegro","5.161","68.699"
"Dominican Republic","5.155","66.102"
"Morocco","5.151","66.208"
"Hungary","5.145","68"
"Lebanon","5.129","67.355"
"Portugal","5.123","72.6"
NULL,"5.121",NULL
"Vietnam","5.061","68.034"
"Tunisia","5.045","67.201"
"Greece","5.033","72.6"
"Mongolia","4.907","62.5"
"Nigeria","4.875","50.102"
"Honduras","4.871","67.3"
"Zambia","4.795","55.809"
"Albania","4.655","68.999"
"Sierra Leone","4.635","51.651"
"Namibia","4.574","56.799"
"Cameroon","4.513","53.515"
"South Africa","4.459","56.904"
NULL,"4.362","61.998"
"Armenia","4.360","67.055"
"Kenya","4.356","60.704"
"Ukraine","4.324","64.902"
"Ghana","4.276","57.586"
NULL,"4.272",NULL
"Georgia","4.252","64.3"
NULL,"4.236",NULL
"Senegal","4.219","59.802"
"Bulgaria","4.217","67"
"Zimbabwe","4.193","56.201"
"Malawi","4.156","57.948"
"Gabon","4.121","59.962"
"Mali","4.073","51.969"
"Haiti","4.028","55.7"
"Botswana","3.974","59.269"
"Comoros","3.956","57.349"
NULL,"3.916",NULL
"Cambodia","3.907","62"
NULL,"3.866",NULL
"Niger","3.856","53.78"
"Chad","3.763","48.478"
"Burkina Faso","3.739","54.151"
"Madagascar","3.695","59.305"
"Tanzania","3.666","57.999"
"Liberia","3.622","56.498"
"Benin","3.484","54.713"
"Togo","3.303","54.914"
NULL,"3.069",NULL
